Price.Index.Opening.Value,Price.Index.Max.Value,Price.Index.Min.Value,Price.Index.End.Value,Traded.Volume,Traded.Amount
31651.81,32385.07,31651.81,32170.71,1685009467.48,761707091
32170.71,33334.23,32170.71,33014.23,2746880391.22,1218106513
33014.23,33863.7,32594.94,33716.92,2764804554.8,1225375164
33716.92,34835.66,32776.57,32842.61,2996163390.04,1226095748
32842.61,33276.38,31958.32,32805.72,2408358797.8,1031928860
32805.72,33079.52,32032.97,32203.06,1960130651.33,796105022
32203.06,33466.74,32099.59,33043.28,2370860881.76,958687684
33043.28,33817.77,32606.37,32828.9,2188075629.5,887114982
32828.9,33124.93,32267.66,33094.92,1901701856.51,729878160
33094.92,33803.08,32914.07,33484.52,2070633233.66,851087714
33484.52,33666.08,32725.06,33666.08,1359829442.29,654925862
33666.08,35223.45,33666.08,35139.7,2691989460.79,1137239671
35139.7,35384.07,34498.09,34720.55,2579653996.34,1065404927
34720.55,35253.16,34713.92,35014.5,1712654992.1,726847240
35014.5,35407.68,34716.48,35407.68,1488021580.07,760411485
35407.68,35720.06,34381.35,34860.56,2335342124,1312141447
34860.56,35609.07,34832.23,35168.73,2039555467.18,1079520228
35168.73,35229.27,34704.94,35021.01,1639105059.36,799426215
35021.01,35644.74,34836.24,35002.99,2124215956.27,912209476
35002.99,36001.65,35002.99,36001.65,1688827994.25,699957628
36001.65,36214.16,35575.33,35722.2,2045481520.84,955944660
35722.2,35949.14,34795.44,34932.23,2040293223.45,891231956
34932.23,34999.76,34044.59,34268.89,1866747346.5,740966435
34268.89,35027.4,34207.76,34750.19,1925600776.04,949407795
34750.19,34750.19,33496.9,33655.59,1552743445.46,718069959
33655.59,34006.97,33264.78,33806.65,1448967371.33,592538875
33806.65,34548.4,33806.65,34389.34,1678492095.49,693643669
34389.34,34778.66,34202.53,34723.84,1770149134.24,690655264
34723.84,35042.73,34570.66,34816.71,1466201863.7,542327086
34816.71,34904.97,34483.07,34690.77,1447705150.85,580323082
34690.77,34771.46,34328.31,34537.04,1413877401.79,556908155
34537.04,34870.36,34450.07,34595.39,1509927506.38,569143510
34595.39,35715.56,34587.66,35715.56,1830778064.54,757041250
35715.56,36000.34,35198.2,35819.93,2095553124.53,826685030
35819.93,36027.22,35277.39,35407.2,1471124264.14,833839824
35407.2,35407.21,34638.98,34909.06,1443995438.34,661298606
34909.06,35786.64,34909.06,35758.67,1813916402.41,875983675
35758.67,36375.12,35751.07,36327.65,2104491148.27,941919401
36327.65,37188.34,36327.65,36755.9,2046049941.93,917585768
36755.9,37718.77,36601.4,36841.11,2169103543.75,1014008819
36841.11,37626.68,36757.88,36949.2,1840480479.32,763109465
36949.2,37274.28,36854.07,37245.86,1693834155.28,721144611
37245.86,37636.25,36891.93,37038.21,1833192732.57,812464593
37038.21,37297.55,36686.12,36797.55,1377358200.26,748618362
36797.55,36797.55,36262.13,36758.82,1142760504.63,536374527
36758.82,37346.79,36715.55,37212.46,1499276712.57,673351998
37212.46,37213.43,36730.93,37155.95,1258035627.96,569979309
37155.95,37631.77,36955.69,36987.68,1329888437.07,536306703
36987.68,37287.33,36497.39,36780.49,1415013695.37,587641991
36780.49,37218.69,36275.32,37004.58,1217051976.41,491678897
37004.58,37689.69,36587.43,36701.2,1638413822.84,622857357
36701.2,37914.02,36701.2,37914.02,1497365479.27,546005012
37914.02,38322.57,37708.32,38156.32,1739036052.03,640658548
38156.32,38378.42,37587.17,37726.69,1434684876.35,555900403
37726.69,38286.26,37726.69,38250.18,1091659035.46,443286516
38250.18,38311.28,37786.03,38007.79,1598942409.52,664298717
38007.79,38347.76,37920.52,38189.08,1485428215.18,659766279
38189.08,38901.97,38189.08,38901.97,1455208734.21,567694127
38901.97,39789.81,38901.97,39395.38,2077430281.94,740284733
39395.38,40195.23,39395.38,39840.52,1506158769.55,555495764
39840.52,40064.5,39531.85,40001.65,1666229007.99,635827666
40001.65,40425.97,39519.78,40376.64,1943623473.21,759160082
40376.64,42182.11,40376.64,42182.11,2805227180.7,1159715440
42182.11,43627.53,42072.74,42641.26,2904133048.69,1078881422
42641.26,44613.74,42592.09,44613.74,2140584952.3,812555091
44613.74,44852.43,43912.78,44696.51,2628274353.75,1090091420
44696.51,45536.75,43708,43899.44,2629563941.43,1240789689
43899.44,44243.14,42794.88,43836.03,2419472900.11,816908800
43836.03,44905.44,43320.62,44767.58,1976299448.36,655703432
44767.58,45310.58,44452.71,44685.62,1562065447.82,596246901
44685.62,44947.39,43343.98,43678.98,1839300909.45,679986419
43678.98,43976.71,42524.92,43889.75,1841940272.94,707363257
43889.75,45486.95,43889.75,44484.23,2336280352.85,826318067
44484.23,45253.12,44069.08,44302.92,1939111782.07,783536369
44302.92,44302.92,43102.54,44290.9,1513977888.64,561548975
44290.9,44991.3,43966.25,44233.36,1570084864.85,583507378
44233.36,45645,43852.1,45645,2151113045.05,760361705
45645,46618.71,45645,46555.79,2194929631.57,748216264
46555.79,47219.27,46132.52,47170.07,2225821860.67,708036850
47170.07,48033.91,47022.59,47771.85,2303122068.51,873471020
47771.85,48099.42,47179.23,48073.35,2547889672.77,972238412
48073.35,48334.56,46736.62,46959.82,2762000187,1089024537
46959.82,47794.72,46959.82,47383.77,2021485159.73,809411991
47383.77,48047.62,47218.81,47559.69,2176125972.36,781675929
47559.69,47559.69,46307.76,46551.19,1598931349.87,635683236
47910.3,48432.01,47611.28,47804.39,1487978310.95,472968815
47804.39,47804.39,46169.41,46856.94,1619121456.57,545560086
46856.94,47968.05,46680.23,47948.41,1546631114.18,500061959
47948.41,49536,47948.41,49466.05,2567374130.78,818416991
49466.05,50000.08,48730.09,49036.08,2211012524.74,688314039
49036.08,50196.78,49036.08,49879.86,2466322684.14,746647575
